# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.calculated.count,1786635672592000000,1786635693789000000,0
workspaceModel.updates.count,1786635672592000000,1786635693789000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1786635672592000000,1786635693789000000,3
workspaceModel.initializing.ms,1786635672592000000,1786635693789000000,0
workspaceModel.collect.changes.ms,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValueWithParameters.clear.count,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValue.from.cache.count,1786635672592000000,1786635693789000000,15
workspaceModel.cachedValue.calculated.count,1786635672592000000,1786635693789000000,2
workspaceModel.to.snapshot.ms,1786635672592000000,1786635693789000000,0
workspaceModel.loading.total.ms,1786635672592000000,1786635693789000000,20
workspaceModel.init.bridges.ms,1786635672592000000,1786635693789000000,0
workspaceModel.pre.handlers.ms,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValue.total.get.count,1786635672592000000,1786635693789000000,17
workspaceModel.on.changed.ms,1786635672592000000,1786635693789000000,0
workspaceModel.check.recursive.update.ms,1786635672592000000,1786635693789000000,0
workspaceModel.replace.project.model.ms,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1786635672592000000,1786635693789000000,0
workspaceModel.updates.precise.ms,1786635672592000000,1786635693789000000,0
workspaceModel.full.replace.project.model.ms,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1786635672592000000,1786635693789000000,0
workspaceModel.cachedValue.clear.count,1786635672592000000,1786635693789000000,0
workspaceModel.update.unloaded.entities.ms,1786635672592000000,1786635693789000000,0
workspaceModel.loading.from.cache.ms,1786635672592000000,1786635693789000000,16
workspaceModel.on.before.changed.ms,1786635672592000000,1786635693789000000,0
workspaceModel.updates.ms,1786635672592000000,1786635693789000000,0
FilePageCache.pageHits,1786635672592000000,1786635693789000000,0
FilePageCache.disposedBuffers,1786635672592000000,1786635693789000000,203
FilePageCache.pageFastCacheHits,1786635672592000000,1786635693789000000,4016
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786635672592000000,1786635693789000000,41943040
StorageLockContext.competingThreads.max,1786635672592000000,1786635693789000000,0
FilePageCache.uncachedFileAccess,1786635672592000000,1786635693789000000,119
FilePageCache.totalPageDisposalsUs,1786635672592000000,1786635693789000000,978
DirectByteBufferAllocator.hits,1786635672592000000,1786635693789000000,3
DirectByteBufferAllocator.disposed,1786635672592000000,1786635693789000000,160
DirectByteBufferAllocator.reclaimed,1786635672592000000,1786635693789000000,43
DirectByteBufferAllocator.misses,1786635672592000000,1786635693789000000,200
StorageLockContext.competingThreads.avg,1786635672592000000,1786635693789000000,0.0
FilePageCache.totalPageLoadsUs,1786635672592000000,1786635693789000000,125598
StorageLockContext.competingThreads.90P,1786635672592000000,1786635693789000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1786635672592000000,1786635693789000000,0
FilePageCache.pageLoads,1786635672592000000,1786635693789000000,203
FilePageCache.capacityInBytes,1786635672592000000,1786635693789000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786635672592000000,1786635693789000000,41943040
FilePageCache.maxCacheSizeInBytes,1786635672592000000,1786635693789000000,209715200
FilePageCache.maxRegisteredFiles,1786635672592000000,1786635693789000000,551
FileChannelInterruptsRetryer.totalRetriedAttempts,1786635672592000000,1786635693789000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1786635672592000000,1786635693789000000,8981
writeAction.median.wait.ms,1786635672592000000,1786635693789000000,0
DiskQueryRelay.tasksExecuted,1786635672592000000,1786635693789000000,42
writeAction.max.wait.ms,1786635672592000000,1786635693789000000,0
DiskQueryRelay.tasksRequested,1786635672592000000,1786635693789000000,42
DiskQueryRelay.taskExecutionTotalTimeUs,1786635672592000000,1786635693789000000,3388
writeAction.count,1786635672592000000,1786635693789000000,4
writeAction.wait.ms,1786635672592000000,1786635693789000000,0
AWTEventQueue.dispatchTimeTotalNS,1786635672592000000,1786635693789000000,1906090141
NonBlockingReadAction.finalizedExecutionsCount,1786635672592000000,1786635693789000000,7
