source,commit,date,author,subject
member,3a542345e3ec633777c8e73b40038ad64c2543ef,2020-08-27,hanyan3,"添加会员管理系统 架子"
member,0beb5f89f60828f2dc5b0f89be4e3d2d11430287,2020-09-03,hanyan3,"增加pay 支付逻辑"
member,0590e31a4592eddd41fe0fabf280831d0274ccd9,2020-09-03,hanyan3,"修改 会员 pb"
member,2b74b992de8570f4282b1af885fd296bbfe9b200,2020-09-03,hanyan3,"添加 会员管理模块"
member,7a531ec801fc81a6f15953dd5403872b7224cdb7,2020-09-03,hanyan3,"删除 订单mysql 文件"
member,17481bdb1d9425324edd69f30c63e7fdabdcab3e,2020-09-04,hanyan3,"增加 中间件 的一些功能"
member,7896789accc6544598854ccaced408376e2eb447,2020-09-04,hanyan3,"增加 产品校验"
member,4b1fce8231491141e59c5eb0300e150edf348da1,2020-09-05,hanyan3,"增加加密规则"
member,a09921f9f310871dbcea083df3656c6ddbc4f847,2020-09-05,hanyan3,"添加 gateway 所有逻辑"
member,d9d71aec272c8c21bbc36f54269caf1ad93af517,2020-09-05,hanyan3,"添加 相应pb"
member,11a15e88a41d9941f95190b7d8bb29b8d2a7e09b,2020-09-05,hanyan3,"增加所有的接口逻辑"
member,feeb78e0ed70f526851b3c4698cce01616140bdf,2020-09-07,hanyan3,"修改获取 会员级别金额的逻辑"
member,88b841a9bb1fb7215728ebcc7ea9ed5cce019884,2020-09-07,hanyan3,"更新下订单字段逻辑"
member,ca5eb807392f14c89bd3f6a81b6881561c666126,2020-09-07,hanyan3,"更改字段信息"
member,79b4ecf23e8f40831fa022623f29ee6d161fbf35,2020-09-07,hanyan3,"更改细节逻辑"
member,0cc3b7455791db0dd499a049a3c27e83554467dc,2020-09-07,hanyan3,"修改下订单逻辑"
member,eac73ac9ae7b76389af6ca2be55fdeab861aac80,2020-09-08,hanyan3,"修改下订单逻辑"
member,02af0671a1040334d998f1c4a66da354eeba4444,2020-09-08,hanyan3,"修改 在 获取订单列表时，自动判断待支付的订单是否过期"
member,afc0a96a8de162425129e367ace680df877870c6,2020-09-08,hanyan3,"增加取消订单接口"
member,6c81fe62274fdf6148c0658661f6050a70db6652,2020-09-08,hanyan3,"修改编译脚本"
member,0a46593f455eb30f27560d815e4a15f397bb83f0,2020-09-08,zhaojinbo,"paycenter"
member,4ce881c2d14624fa1b04001c927991d4155ee42e,2020-09-08,zhaojinbo,"Merge branch 'master' of git.corp.qihoo.net:mobile-safeserver/member"
member,ed7b90971b04aeae25a50e0ee46551c8ef538349,2020-09-08,hanyan3,"删除pb.go"
member,438212cf0fd0cf6874dd322635278a81658d8eea,2020-09-08,hanyan3,"修改下订单和 回调相应逻辑"
member,c288177c000759121ee8532b8ab1599878671cac,2020-09-08,hanyan3,"修改订单时间 从qcm 获取"
member,bbb1b60d903389f5408150c34cc5f099bd0af250,2020-09-09,hanyan3,"修改配置文件"
member,b772f56593cdb42d924ead030dcd3700e1a03bc4,2020-09-09,zhaojinbo,"修改bug"
member,232d07cde1223027d533ad902da5dda8e5800591,2020-09-09,hanyan3,"修改bug"
member,5c3dca99a246885c0cca1193de3820dc107366ef,2020-09-09,hanyan3,"Merge branch 'master' of git.corp.qihoo.net:mobile-safeserver/member"
member,0529bffdf0336a25d65b429231a7065d1e4532d8,2020-09-09,hanyan3,"删除临时文件"
member,f7cc66ccc18c2afe9d833dfc53c6a084f1313f8b,2020-09-09,hanyan3,"修改逻辑"
member,83888c0c6fa6e53615246a84e425d9e1fd6c1c55,2020-09-09,zhaojinbo,"返回payData"
member,2f126b9db160a578d81c63849f1fc0f67ffa61d4,2020-09-09,hanyan3,"增加返回值"
member,2636c05ae915779d19faca01a4340446b6117f68,2020-09-09,hanyan3,"修改 会员价格表"
member,a905482563f4e97888b309e2502b0e3fc27d54a1,2020-09-09,hanyan3,"增加会员权益 和 规则 接口"
member,cad71d3d94804b2ebf199bafda772b4ae1cd02b0,2020-09-09,hanyan3,"修改 pay 支付中心的callback"
member,993642806700f0f574be52419433202d9866a98c,2020-09-09,zhaojinbo,"paycenter init"
member,dd4ae3e0c8ce10e461ffb7a448dd08b028b941ba,2020-09-09,hanyan3,"修改 pay 的支付 配置"
member,2f7e815be28f30356c1500d78741d87961c8807e,2020-09-09,hanyan3,"暂时去掉加密"
member,4c26ea60640c43e6a159aef3e4f0d2194e520b11,2020-09-09,hanyan3,"去掉返回的加密"
member,d46bcb8122ec5b25b66b7ef2da1078ff13068360,2020-09-10,zhaojinbo,"debug"
member,446804f08f3418d444d845480d46d51ba2b13e40,2020-09-10,zhaojinbo,"debug"
member,75e80d82e18bd1e17d7e745969970d131049095d,2020-09-10,hanyan3,"删除无用的东西"
member,30a041e3bc80b05735dd8fb316090839b587c76d,2020-09-10,zhaojinbo,"new debug"
member,a09993812a9063c4adb818f6411b410bdf855db8,2020-09-10,hanyan3,"修复恢复2个返回的问题"
member,f9ccbdd40e938f0d0d8385f1e4b043c31930c830,2020-09-10,zhaojinbo,"debug"
member,1e1d904ef0f6b6c98bba0964818398710e4d177f,2020-09-10,zhaojinbo,"Merge branch 'master' of git.corp.qihoo.net:mobile-safeserver/member"
member,897eb121dad2775f3e3c9eee27f589aa8e324da3,2020-09-10,hanyan3,"修改jaeger 问题"
member,019dac58f53198fb3fc64e07d06ec322562c5dec,2020-09-10,zhaojinbo,"debug"
member,f1dafd48a985d2057e4e107389d5f54cd0a07e24,2020-09-10,zhaojinbo,"Merge branch 'master' of git.corp.qihoo.net:mobile-safeserver/member"
member,65fac5936ca08db2aeadcd3ea1ac448b928129e7,2020-09-10,zhaojinbo,"new debug"
member,a5f2c536f77148944cc650d641ba961585269e22,2020-09-10,zhaojinbo,"debug"
member,2d7940cc46a161a7c99908520c8f15787c12e606,2020-09-10,zhaojinbo,"debug"
member,f5281417a05e42cb3eaa42be6c99d97c847e34c8,2020-09-10,hanyan3,"加些注释"
member,f4e2467ca69d0a77820657e032cc335c6b816ffd,2020-09-10,zhaojinbo,"float"
member,6d2137942919139a1a38fbda972600f24a635de7,2020-09-10,zhaojinbo,"Merge branch 'master' of git.corp.qihoo.net:mobile-safeserver/member"
member,6d410812ce4b865f6e3b49b765aa7d52cf510c6e,2020-09-10,zhaojinbo,"debug"
member,7bed663e48bcf13e67323d47b1f14da59e13fd45,2020-09-10,zhaojinbo,"debug"
member,6accd879fed3a7b543128875d14b0b6019f8ce7a,2020-09-11,zhaojinbo,"支付中心接口使用修改"
member,4c81e80cbed4a6f4426b35d89db63fb2b653717b,2020-09-11,zhaojinbo,"paycenter"
member,d5823fbb1e1487b807bc20eaad5a066e139243bd,2020-09-11,hanyan3,"修改 获取会员金额逻辑"
member,6302a8d598a7959c4a62b5599f8562c8068b6aed,2020-09-11,zhaojinbo,"client ip"
